prompt,score
"You need to do language model rescoring in ASR. Given the 5-best hypotheses, you need to report the true transcription from the 5-best hypotheses.",0.0599245126932423
This is a hard problem. Carefully summarize in ONE detailed sentence the following captions by different people describing the same audio. Do not allude to the existence of the multiple captions. Focus on describing the content of the audio. The transcriptions have some intialism for corporations.,0.0620960653533943
"You have been given 5 different possible captions of the same audio, carefully summarize the given text in one sentence. Make sure to follow all the steps in identifying the right summary.",0.0635954707615945
There is some financial data discussed in a meeting. You need to correctly give the true transcription from the 5-best hypotheses. Your task is to critically evaluate these option using english grammar. Mostly these transcriptions are in present continous tense.,0.0614744325526084
There are five transcriptions hypotheses for a given audio and you need to report the true transcription by using english grammar rules.,0.0622511762576909
"As a language expert, your task is to analyze and rescore 5-best hypotheses from an Automatic Speech Recognition (ASR) system. The audio contains financial discussions from a business meeting. Evaluate each hypothesis considering English grammar rules, context, and semantic coherence. Pay special attention to present continuous tense usage, which is common in these transcriptions. Utilize language model rescoring techniques to determine the most accurate transcription. Provide a brief explanation for your choice, highlighting key factors that influenced your decision.",0.06218905472636816
"As an expert in Automatic Speech Recognition (ASR) and financial language, your task is to perform advanced language model rescoring on meeting transcripts containing financial data. You will be presented with the top 5 hypotheses for each segment. Critically analyze these options, focusing on English grammar, especially the use of present continuous tense, which is prevalent in these discussions. Consider industry-specific terminology and context to identify the most accurate transcription. Report your findings, explaining why you believe your chosen transcription is the most faithful representation of the original speech. Be prepared to handle numerical data, financial jargon, and potential speaker accents or background noise interference.",0.0472636815920398
"Analyze a set of transcription hypotheses from a financial meeting discussion. Your task is to critically evaluate these options using English grammar, paying special attention to present continuous tense and corporate initialisms. Synthesize the information into ONE detailed sentence that accurately summarizes the content of the audio without alluding to the existence of multiple transcriptions. This challenging task requires careful consideration of financial terminology and context to provide the most precise representation of the discussion.",0.036069651741293535
"As an expert in speech recognition and language processing, your task is to analyze and rescore 5-best hypotheses from an ASR system. The audio contains financial data discussed in a business meeting. Evaluate each hypothesis using your knowledge of English grammar, financial terminology, and context. Pay special attention to present continuous tense usage, which is common in these transcriptions. Apply advanced language model rescoring techniques to determine the most probable and accurate transcription. Provide a confidence score for your chosen transcription and briefly explain your reasoning.",0.060945273631840796
"Analyze and synthesize multiple transcription hypotheses of a financial meeting discussion. Your task is to produce ONE comprehensive sentence that accurately captures the key financial data, corporate initialisms, and ongoing actions described in the audio. Critically evaluate the hypotheses for grammatical correctness and consistency with present continuous tense, while maintaining a focus on the essential content without referencing the existence of multiple transcriptions.",0.03731343283582089
"As a linguistic expert specializing in financial communication and Automatic Speech Recognition (ASR), your task is to analyze and refine a set of transcription hypotheses from a high-stakes financial meeting. You will receive the top 5 hypotheses for each audio segment. Your goal is to critically evaluate these options, considering English grammar (especially present continuous tense), corporate initialisms, industry-specific terminology, and potential speech variations due to accents or background noise. After careful analysis, synthesize the most accurate elements into a single, comprehensive sentence that captures the essence of the discussion. This sentence should seamlessly integrate financial jargon, numerical data, and contextual nuances without revealing the existence of multiple transcription options. Your final output should read as a polished, professional summary that could be presented to senior executives or stakeholders.",0.053482587064676616
"Analyze and synthesize multiple transcription hypotheses from a financial meeting discussion, critically evaluating them for grammatical accuracy, present continuous tense usage, and proper corporate initialisms. Your task is to craft ONE comprehensive, detailed, and grammatically flawless sentence that encapsulates the key financial data, ongoing actions, and essential content of the audio. This sentence should provide a precise representation of the discussion, incorporating relevant financial terminology and context, while maintaining a professional tone. Ensure the final output does not allude to the existence of multiple transcriptions or the synthesis process.",0.03233830845771144
"Analyze and synthesize multiple transcription hypotheses from a financial meeting discussion, critically evaluating them for English grammar, present continuous tense, and corporate initialisms. Your task is to craft ONE concise yet comprehensive sentence that accurately captures the key financial data, ongoing actions, and essential content of the audio. This sentence should seamlessly integrate financial terminology, maintain grammatical accuracy, and provide a precise representation of the discussion without referencing the existence of multiple transcriptions. Consider the broader context and implications of the financial information presented to ensure the most accurate and meaningful summary possible.",0.07587064676616916
"Analyze and synthesize multiple transcription hypotheses from a financial meeting discussion, critically evaluating them for English grammar, present continuous tense, and corporate initialisms. Your task is to craft ONE concise yet comprehensive sentence that accurately captures the key financial data, ongoing actions, and essential content of the audio. This sentence should seamlessly integrate financial terminology, maintain grammatical accuracy, and provide a precise representation of the discussion without referencing the existence of multiple transcriptions. Consider the broader context and implications of the financial information presented to ensure the most accurate and meaningful summary possible.",0.07587064676616916
"As a financial language expert specializing in Automatic Speech Recognition (ASR), your task is to analyze and refine multiple transcription hypotheses from a financial meeting. Evaluate up to 5 hypotheses per segment, focusing on grammatical accuracy, particularly the use of present continuous tense, and industry-specific terminology. Synthesize the most accurate elements into a single, comprehensive sentence that captures essential financial data, corporate initialisms, and ongoing actions. Your refined transcription should seamlessly integrate numerical data, account for potential accents or background noise, and maintain the context and tone of a professional financial discussion. Provide a brief explanation of your choices, highlighting how your final sentence best represents the original speech content and financial context.",0.08830845771144279
"Analyze and synthesize multiple transcription hypotheses from a financial meeting discussion, critically evaluating them for grammatical accuracy, present continuous tense usage, and proper corporate initialisms. Your task is to craft ONE comprehensive, detailed, and grammatically flawless sentence that encapsulates the key financial data, ongoing actions, and essential content of the audio. This sentence should provide a precise representation of the discussion, incorporating relevant financial terminology and context, while maintaining a professional tone. Ensure the final output does not allude to the existence of multiple transcriptions or the synthesis process.",0.03233830845771144
"Analyze and synthesize multiple transcription hypotheses from a financial meeting discussion, critically evaluating them for grammatical accuracy, present continuous tense usage, and proper corporate initialisms. Craft ONE comprehensive, detailed, and grammatically flawless sentence that encapsulates the key financial data, ongoing actions, and essential content of the audio. This sentence should provide a precise representation of the discussion, incorporating relevant financial terminology, market trends, and strategic decisions. Maintain a professional tone and ensure the final output focuses solely on the meeting's core message without alluding to the transcription process or multiple sources.",0.03855721393034826
"Analyze and synthesize multiple transcription hypotheses from a financial meeting discussion, critically evaluating them for grammatical accuracy, present continuous tense usage, and proper corporate initialisms. Your task is to craft ONE comprehensive, detailed, and grammatically flawless sentence that encapsulates the key financial data, ongoing actions, and essential content of the audio. This sentence should provide a precise representation of the discussion, incorporating relevant financial terminology and context, while maintaining a professional tone. Ensure the final output does not allude to the existence of multiple transcriptions or the synthesis process.",0.03233830845771144
"Analyze and synthesize multiple transcription hypotheses from a financial meeting discussion, critically evaluating them for grammatical accuracy, present continuous tense usage, and proper corporate initialisms. Your task is to craft ONE comprehensive, detailed, and grammatically impeccable sentence that encapsulates the key financial data, ongoing actions, and essential content of the audio. This challenging task demands meticulous consideration of financial terminology, market trends, and contextual nuances to provide the most precise and insightful representation of the discussion. The final sentence should maintain a professional tone, seamlessly integrate relevant financial jargon, and offer a cohesive summary that could stand alone as a high-level overview of the meeting's core content. Ensure the output does not hint at the existence of multiple transcriptions or the synthesis process, presenting the information as if derived from a single, authoritative source.",0.03233830845771144
"Analyze and synthesize multiple transcription hypotheses from a financial meeting discussion, critically evaluating them for grammatical accuracy, present continuous tense usage, and proper corporate initialisms. Your task is to craft ONE comprehensive, detailed sentence that accurately captures the key financial data, ongoing actions, and essential content described in the audio. This sentence should provide a precise and concise representation of the discussion, incorporating relevant financial terminology, numerical data, and contextual information. Ensure the final output is grammatically flawless, maintains a professional tone, and seamlessly integrates all crucial elements without exceeding 50 words or alluding to the existence of multiple transcriptions or the synthesis process.",0.03855721393034826
